,#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
334,2021,1,3,7,40,999,5.6,7.0,2.27,17.39,11.1,280,1023.7,13.9,999.0,11.3,99,99
340,2021,1,3,8,40,999,4.7,5.9,2.22,17.39,10.91,276,1023.5,13.9,999.0,11.2,99,99
346,2021,1,3,9,40,999,3.1,4.5,2.0,17.39,10.54,278,1023.4,13.9,999.0,11.0,99,99
352,2021,1,3,10,40,999,1.5,2.3,2.36,17.39,11.44,279,1023.1,13.7,999.0,10.9,99,99
358,2021,1,3,11,40,999,4.5,6.2,2.25,17.39,10.7,274,1023.1,14.0,999.0,11.0,99,99
364,2021,1,3,12,40,999,3.1,4.4,2.31,17.39,10.98,281,1023.1,14.2,999.0,10.9,99,99
370,2021,1,3,13,40,999,2.5,3.4,2.33,17.39,10.82,279,1023.2,14.2,999.0,10.7,99,99
376,2021,1,3,14,40,999,3.8,5.2,2.46,17.39,10.93,275,1023.4,14.4,999.0,11.0,99,99
382,2021,1,3,15,40,999,3.9,5.1,2.77,17.39,11.4,270,1023.6,14.3,999.0,11.3,99,99
388,2021,1,3,16,40,999,4.6,6.3,2.5,14.81,10.72,267,1024.2,14.5,999.0,12.4,99,99
394,2021,1,3,17,40,999,4.4,5.8,2.52,17.39,10.84,261,1024.2,14.0,999.0,12.5,99,99
400,2021,1,3,18,40,999,3.4,4.6,2.68,16.0,11.06,273,1023.7,13.8,999.0,12.4,99,99
406,2021,1,3,19,40,999,3.4,5.0,2.81,14.81,11.31,278,1022.7,14.1,999.0,12.6,99,99
412,2021,1,3,20,40,999,2.6,3.5,3.0,17.39,11.45,286,1021.8,13.6,999.0,12.4,99,99
418,2021,1,3,21,40,999,4.4,6.3,2.65,17.39,10.53,280,1021.4,13.5,999.0,12.1,99,99
424,2021,1,3,22,40,999,4.8,6.8,2.55,16.0,10.64,290,1021.4,13.5,999.0,12.0,99,99
430,2021,1,3,23,40,999,4.5,6.0,2.8,16.0,11.42,285,1021.5,13.6,999.0,11.9,99,99
436,2021,1,4,0,40,999,5.0,6.2,2.34,17.39,9.98,294,1021.8,13.8,999.0,11.3,99,99
