Beach Name,County,Lat,Long
El Porto Beach,Los Angeles,,
Manhattan Beach County Park,Los Angeles,,
Hermosa City Beach,Los Angeles,,
Redondo Beach State Park,Los Angeles,,
RAT Beach,Los Angeles,,
Torrance County Beach,Los Angeles,,
Royal Palms State Beach,Los Angeles,,
Cabrillo Beach Park,Los Angeles,,
Los Alamitos Bay (Long Beach),Los Angeles,,
Mother's Beach (Long Beach),Los Angeles,,
Seal Beach,Orange,,
Surfside Beach,Orange,,
Sunset Beach,Orange,,
Bolsa Chica State Beach,Orange,,
Huntington City Beach,Orange,,
Huntington State Beach,Orange,,
Santa Ana River County Beach,Orange,,
Newport Municipal Beach,Orange,,
Balboa Beach,Orange,,
West Jetty View Park,Orange,,
Bayside Drive County Beach,Orange,,
China Cove Beach,Orange,,
Rocky Point,Orange,,
Corona del Mar State Beach,Orange,,
Little Corona del Mar Beach,Orange,,
Crystal Cove State Park,Orange,,
Crescent Bay Point Park,Orange,,
Shaw's Cove,Orange,,
Diver's Cove,Orange,,
Rockpile Beach,Orange,,
Picnic Beach,Orange,,
Main Beach,Orange,,
Brooks Beach,Orange,,
Victoria Beach,Orange,,
Laguna Beach,Orange,,
Aliso Creek County Beach,Orange,,
West Street Beach,Orange,,
"1,000 Steps Beach",Orange,,
Salt Creek County Beach,Orange,,
Doheny State Beach,Orange,,
Capistrano Beach,Orange,,
Poche Beach,Orange,,
Komo Beach,Orange,,
San Clemente City Beach,Orange,,
San Clemente State Beach,Orange,,
San Onofre State Beach,San Diego,,
"Del Mar Beach, Camp Pendleton",San Diego,,
"Harbor Beach, California",San Diego,,
Oceanside City Beach,San Diego,,
Oceanside Boulevard Beach,San Diego,,
"Buccaneer Beach, Oceanside",San Diego,,
South Oceanside Beach (Cassidy Street),San Diego,,
Saint Malo Beach,San Diego,,
Carlsbad City Beach,San Diego,,
Terra Mar Point,San Diego,,
Carlsbad State Beach,San Diego,,
South Carlsbad State Beach,San Diego,,
Ponto Beach,San Diego,,
Grandview,San Diego,,
