beach_id,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
54,Martins Beach,37.37371681,-122.4085306,07:06 AM,04:52 PM,Light drizzle,51,54,100,25,3.6
55,Tunitas Creek Beach,37.35550969,-122.3999619,07:06 AM,04:52 PM,Light drizzle,51,54,100,25,3.6
56,San Gregorio Private Beach,37.3365993,-122.4013304,07:06 AM,04:52 PM,Light drizzle,51,54,100,25,3.6
57,San Gregorio State Beach,37.32390506,-122.402532,07:06 AM,04:52 PM,Light drizzle,51,54,100,25,3.6
58,Pomponio State Beach,37.29312103,-122.4069395,07:04 AM,04:52 PM,Light drizzle,51,53,100,28,4.3
59,Pescadero State Beach,37.26296837,-122.4136772,07:04 AM,04:52 PM,Overcast,51,53,100,28,4.3
60,Bean Hollow State Beach,37.22636846,-122.409955,07:04 AM,04:52 PM,Overcast,51,53,100,28,4.3
61,Pigeon Point Beach,37.18281646,-122.3849497,07:04 AM,04:52 PM,Overcast,51,53,100,28,4.3
62,Gazos Creek State Beach,37.1683354,-122.3626122,07:04 AM,04:52 PM,Overcast,51,53,100,28,4.3
63,Año Nuevo State Park,37.11362641,-122.3299457,07:04 AM,04:52 PM,Light drizzle,51,53,100,28,4.3
64,New Brighton State Beach,36.97873139,-121.9383879,07:03 AM,04:51 PM,Overcast,51,53,100,23,3.6
65,Capitola State Beach,36.971483,-121.951613,07:03 AM,04:51 PM,Overcast,51,53,100,23,3.6
66,Seacliff State Beach,36.97197984,-121.91399,07:02 AM,04:51 PM,Overcast,49,53,100,10,2.3
67,Santa Cruz Beach,36.96440579,-122.0177257,07:03 AM,04:51 PM,Overcast,51,53,100,23,3.6
68,Twin Lakes State Beach,36.96234726,-121.9978356,07:03 AM,04:51 PM,Overcast,51,53,100,23,3.6
69,Lighthouse Field State Beach,36.95189034,-122.0285827,07:03 AM,04:51 PM,Overcast,51,53,100,23,3.6
70,Natural Bridges State Beach,36.95043481,-122.0573468,07:03 AM,04:51 PM,Overcast,51,53,100,23,3.6
71,Manresa State Beach,36.93232569,-121.862878,07:02 AM,04:51 PM,Overcast,49,53,100,10,2.3
72,Sunset State Beach,36.88700143,-121.8326324,07:02 AM,04:51 PM,Overcast,49,53,100,10,2.3
73,Zmudowski State Beach,36.84292083,-121.805257,07:01 AM,04:51 PM,Overcast,49,53,100,10,2.3
74,Moss Landing State Beach,36.81540267,-121.7915881,07:01 AM,04:51 PM,Overcast,49,53,100,10,2.3
75,Salinas River State Beach,36.7754768,-121.7952683,07:01 AM,04:51 PM,Overcast,49,53,100,10,2.3
76,Marina State Beach,36.69649793,-121.8094498,07:01 AM,04:51 PM,Overcast,49,53,100,10,2.3
77,Asilomar State Beach,36.61826712,-121.9419008,07:02 AM,04:52 PM,Overcast,53,49,100,24,4.6
78,Monterey State Beach,36.61250151,-121.8580798,07:01 AM,04:52 PM,Overcast,53,49,100,24,4.6
79,Pebble Beach,36.57242701,-121.9477807,07:01 AM,04:52 PM,Overcast,53,49,100,24,4.6
80,Carmel River State Beach,36.53817954,-121.9290057,07:01 AM,04:52 PM,Overcast,53,49,100,24,4.6
81,Point Sur Lightstation State Historic Park,36.309028,-121.8954479,07:01 AM,04:52 PM,Overcast,53,49,100,24,4.6
82,Sand Dollar Beach,35.92314004,-121.4685117,06:56 AM,04:51 PM,Overcast,52,56,100,12,3.9
83,William Randolph Hearst Memorial State Beach,35.64417168,-121.1880653,06:56 AM,04:51 PM,Overcast,52,56,100,12,3.9
84,Cayucos State Beach,35.44857182,-120.9059346,06:54 AM,04:51 PM,Overcast,53,56,100,12,3.6
85,Morro Strand State Beach,35.39210458,-120.8668416,06:54 AM,04:51 PM,Overcast,53,56,100,12,3.6
86,Morro Rock Beach,35.37284552,-120.865919,06:54 AM,04:51 PM,Overcast,53,56,100,12,3.6
87,Ávila Beach,35.18010746,-120.7316191,06:53 AM,04:51 PM,Cloudy,52,53,76,10,3.6
88,Shell Beach,35.17215991,-120.70133,06:53 AM,04:51 PM,Cloudy,52,53,76,10,3.6
89,Pismo Beach Pier,35.139858,-120.644774,06:53 AM,04:50 PM,Cloudy,52,53,71,10,3.3
90,Rancho Guadalupe Dunes County Park,34.96514896,-120.6515443,06:53 AM,04:50 PM,Cloudy,52,53,71,10,3.3
